                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0396,                 2.5596,                 1.2355,                0.31457,                0.31891,                0.24669,                0.16308,                 1.8442,                 1.8514,                 1.1283,             0.00019528,             0.00019528,             0.00019528
                      2,                  1.856,                 1.9013,                 1.1316,                0.36933,                0.35891,                0.30331,                0.20521,                 1.7685,                 1.6751,                 1.1064,             0.00038741,             0.00038741,             0.00038741
                      3,                 1.8304,                 1.7644,                 1.1176,                0.48188,                0.36872,                 0.3518,                0.22652,                 1.8009,                 1.6326,                 1.1292,             0.00057565,             0.00057565,             0.00057565
                      4,                 1.7917,                 1.6195,                 1.1005,                0.53077,                0.43573,                0.42379,                0.28034,                 1.7467,                  1.501,                 1.0972,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.7155,                 1.4873,                 1.0779,                0.67778,                0.44887,                0.48858,                0.33195,                 1.6855,                 1.3574,                 1.0891,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.7487,                 1.4622,                  1.083,                0.54568,                0.50976,                0.52778,                0.35146,                 1.7252,                 1.3816,                  1.082,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.6988,                 1.4103,                 1.0543,                0.53335,                0.50299,                0.52363,                0.35135,                 1.6755,                 1.3595,                 1.0743,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.6952,                 1.3884,                  1.065,                0.59614,                0.53337,                0.54756,                0.36021,                 1.7162,                 1.3233,                 1.0795,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.6739,                  1.334,                 1.0498,                0.60543,                0.58277,                0.58439,                0.40679,                 1.6314,                 1.2668,                  1.058,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.6666,                 1.3421,                 1.0493,                0.64737,                 0.5408,                0.60542,                0.40931,                 1.6484,                  1.235,                 1.0641,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.6349,                 1.2529,                  1.039,                0.62636,                0.61087,                0.64686,                0.44795,                 1.6251,                 1.1986,                 1.0496,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.6405,                 1.2334,                 1.0323,                0.71496,                0.59536,                 0.6395,                0.43388,                 1.6373,                 1.2123,                 1.0465,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.6204,                 1.2052,                 1.0223,                0.64885,                0.63447,                0.64297,                 0.4476,                 1.6662,                 1.1992,                 1.0744,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.5978,                 1.1855,                 1.0241,                0.67185,                 0.6251,                0.63822,                0.45046,                 1.5981,                  1.163,                 1.0366,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.5895,                 1.1772,                 1.0178,                0.71961,                0.63558,                0.66808,                0.47151,                 1.5871,                 1.1381,                 1.0396,             0.00051232,             0.00051232,             0.00051232
                     16,                  1.589,                 1.1549,                 1.0232,                0.69907,                0.68393,                 0.7097,                0.49885,                 1.5932,                 1.0896,                 1.0367,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.5605,                 1.0887,                 1.0119,                0.75421,                 0.6673,                0.71281,                0.50492,                 1.5629,                 1.0821,                 1.0272,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.5188,                 1.0575,                 1.0032,                0.75364,                0.66025,                 0.7104,                 0.4985,                 1.5778,                 1.0676,                 1.0321,             0.00049486,             0.00049486,             0.00049486
                     19,                  1.534,                 1.0471,                 1.0052,                0.78161,                0.68486,                 0.7353,                0.52261,                 1.5269,                 1.0249,                 1.0243,             0.00048904,             0.00048904,             0.00048904
                     20,                  1.499,                 1.0161,                 0.9899,                 0.7614,                0.66553,                0.70647,                0.50188,                 1.5354,                 1.0398,                 1.0193,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.4992,                 1.0185,                0.99135,                0.78181,                0.68865,                0.73965,                0.52449,                 1.5229,                 1.0044,                 1.0159,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.5031,                 1.0175,                0.99384,                0.74687,                0.70659,                 0.7517,                0.53627,                   1.55,                 1.0308,                 1.0297,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.5121,                 1.0182,                 0.9946,                0.78449,                 0.6981,                0.74227,                0.53531,                 1.5181,                0.99419,                 1.0138,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.4875,                0.97886,                0.97825,                0.82517,                0.69659,                0.75241,                0.54118,                 1.5212,                 0.9889,                  1.013,             0.00045993,             0.00045993,             0.00045993
                     25,                  1.498,                0.98119,                0.98245,                0.79982,                0.69998,                0.73718,                0.54418,                 1.4773,                0.97518,                 1.0002,             0.00045411,             0.00045411,             0.00045411
                     26,                 1.4571,                0.95646,                0.97371,                0.79383,                0.72942,                0.76003,                0.55426,                 1.4859,                0.93409,                0.99462,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.4369,                0.91133,                 0.9688,                0.79242,                0.74084,                0.76683,                0.55557,                 1.5089,                0.94195,                 1.0061,             0.00044247,             0.00044247,             0.00044247
                     28,                  1.437,                0.91925,                0.96696,                0.81008,                0.74095,                 0.7733,                0.55432,                 1.4764,                 0.9048,                0.99356,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.4187,                0.89655,                0.97166,                0.83174,                0.71244,                0.77372,                0.57097,                  1.463,                0.93126,                0.99892,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.4215,                0.89734,                0.97739,                0.82258,                0.71874,                0.77647,                0.56708,                 1.4742,                  0.915,                0.99561,             0.00042501,             0.00042501,             0.00042501
                     31,                  1.423,                0.89624,                 0.9632,                 0.8413,                0.74619,                0.79444,                0.58034,                 1.4583,                0.89445,                0.99081,             0.00041919,             0.00041919,             0.00041919
                     32,                 1.4128,                0.88801,                0.95875,                0.78612,                0.73204,                0.78126,                0.55674,                 1.4793,                0.91404,                  1.001,             0.00041336,             0.00041336,             0.00041336
                     33,                 1.4207,                0.86546,                0.96034,                 0.8109,                0.73871,                0.78742,                0.56746,                 1.4685,                0.88612,                0.99989,             0.00040754,             0.00040754,             0.00040754
                     34,                 1.4378,                0.88167,                0.96344,                0.84975,                0.73881,                0.80489,                0.58759,                 1.4345,                0.87439,                0.98534,             0.00040172,             0.00040172,             0.00040172
                     35,                 1.3849,                0.84481,                0.95543,                 0.8451,                0.76266,                0.81577,                0.60157,                  1.437,                 0.8597,                0.98418,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.3733,                 0.8318,                0.95463,                0.86713,                0.75096,                0.81733,                0.60774,                 1.4146,                0.85229,                0.97846,             0.00039008,             0.00039008,             0.00039008
                     37,                   1.37,                 0.8206,                0.95183,                0.85265,                0.76041,                0.81912,                0.60493,                 1.4069,                0.83474,                0.97414,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.3606,                0.80824,                 0.9493,                0.85622,                0.76159,                0.81425,                0.60384,                 1.4335,                0.83206,                0.97958,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.3428,                0.79901,                0.93928,                0.83148,                0.76605,                0.81847,                0.60607,                 1.4065,                0.84133,                0.97442,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.3723,                0.81048,                0.94771,                 0.8597,                0.77314,                0.82539,                0.61614,                 1.4144,                  0.828,                0.97647,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.3482,                0.79659,                0.93634,                 0.8333,                0.77473,                0.82879,                0.62355,                 1.4045,                0.82842,                0.97523,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.3372,                0.77956,                0.93319,                0.85649,                 0.7851,                0.82848,                0.61674,                 1.4001,                0.81987,                0.97398,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.3389,                0.77561,                0.93582,                0.87129,                0.77924,                0.84254,                0.61262,                 1.4215,                0.82329,                0.97835,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.3053,                0.76567,                0.93541,                0.87115,                0.79674,                0.84095,                0.61737,                 1.4017,                0.80492,                0.97084,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.3124,                0.75955,                0.93171,                0.85975,                0.77518,                0.84186,                0.63204,                 1.3797,                0.81123,                0.96415,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.3109,                0.76368,                0.93595,                0.85311,                0.77558,                0.82463,                0.60717,                 1.3892,                0.82824,                0.96968,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.3067,                0.75241,                0.93081,                 0.8832,                0.78263,                0.83965,                0.63073,                  1.382,                0.78753,                0.96977,             0.00032605,             0.00032605,             0.00032605
                     48,                  1.302,                0.74984,                0.92957,                0.88276,                0.79829,                0.85874,                0.64377,                 1.3644,                0.77434,                0.96264,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.2885,                0.72822,                0.92083,                0.87515,                0.79833,                0.85634,                0.63621,                 1.3593,                0.77224,                0.95909,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.2768,                0.73413,                0.92426,                0.86865,                0.81441,                0.85786,                0.64171,                 1.3545,                 0.7594,                0.95427,             0.00030858,             0.00030858,             0.00030858
