                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0162,                 2.5171,                 1.2173,                0.48559,                 0.2215,                 0.2127,                0.14181,                 1.8146,                 1.8672,                 1.1177,             0.00019456,             0.00019456,             0.00019456
                      2,                  1.817,                 1.7722,                 1.1111,                 0.4929,                0.37453,                0.33581,                 0.2272,                 1.7193,                 1.6132,                 1.0827,             0.00038863,             0.00038863,             0.00038863
                      3,                 1.7706,                 1.6089,                  1.083,                0.45541,                0.43632,                0.41961,                0.28452,                 1.6978,                 1.5442,                 1.0871,             0.00058075,             0.00058075,             0.00058075
                      4,                 1.7316,                 1.5236,                 1.0832,                0.45584,                0.48874,                0.44617,                0.30263,                 1.6645,                  1.396,                 1.0572,             0.00057927,             0.00057927,             0.00057927
                      5,                 1.6971,                 1.4588,                 1.0629,                0.53057,                0.51079,                0.50506,                0.34598,                 1.6473,                 1.3019,                 1.0445,             0.00057927,             0.00057927,             0.00057927
                      6,                 1.6865,                 1.3876,                 1.0503,                0.61417,                0.48451,                0.53463,                0.36085,                 1.6279,                  1.249,                 1.0445,             0.00057636,             0.00057636,             0.00057636
                      7,                 1.6556,                 1.3065,                  1.043,                 0.6465,                0.52009,                0.56545,                0.37905,                 1.6278,                 1.2481,                 1.0387,             0.00057345,             0.00057345,             0.00057345
                      8,                 1.6247,                 1.2556,                 1.0314,                0.67104,                0.55633,                0.58958,                0.41769,                 1.5898,                 1.1797,                 1.0285,             0.00057054,             0.00057054,             0.00057054
                      9,                 1.6179,                 1.2244,                 1.0347,                0.64049,                0.55993,                 0.6088,                0.41967,                 1.5995,                 1.1572,                 1.0199,             0.00056763,             0.00056763,             0.00056763
                     10,                  1.603,                  1.194,                 1.0084,                0.68682,                 0.5831,                0.63765,                0.43918,                 1.5663,                 1.1139,                 1.0229,             0.00056472,             0.00056472,             0.00056472
                     11,                 1.6061,                 1.1881,                  1.018,                0.67789,                0.60537,                0.65773,                0.44827,                 1.5777,                 1.1454,                 1.0145,              0.0005618,              0.0005618,              0.0005618
                     12,                 1.5518,                 1.1388,                 1.0025,                0.71817,                0.62969,                0.67724,                0.48315,                  1.535,                 1.0579,                 1.0052,             0.00055889,             0.00055889,             0.00055889
                     13,                 1.5366,                 1.1033,                 1.0017,                0.65392,                0.64788,                0.66066,                0.44666,                 1.5981,                 1.0994,                 1.0159,             0.00055598,             0.00055598,             0.00055598
                     14,                  1.507,                 1.0644,                0.99511,                0.72916,                0.68968,                0.72013,                0.50344,                 1.5284,                 1.0129,                 0.9984,             0.00055307,             0.00055307,             0.00055307
                     15,                  1.524,                 1.0482,                0.99086,                0.76069,                0.67253,                0.70267,                0.49938,                 1.5363,                 1.0325,                0.99948,             0.00055016,             0.00055016,             0.00055016
                     16,                 1.5081,                 1.0394,                0.99021,                0.75888,                 0.6862,                0.71741,                0.51806,                 1.4983,                0.98179,                0.99957,             0.00054725,             0.00054725,             0.00054725
                     17,                 1.4963,                 1.0031,                0.98553,                0.74852,                0.69701,                0.73069,                0.51454,                 1.5305,                 1.0043,                 1.0024,             0.00054434,             0.00054434,             0.00054434
                     18,                 1.4566,                  0.971,                0.97447,                0.77466,                0.70845,                0.75606,                0.53789,                 1.4775,                0.95344,                0.98593,             0.00054143,             0.00054143,             0.00054143
                     19,                 1.4983,                 0.9881,                0.98417,                0.76028,                0.70688,                0.74427,                0.52954,                 1.5102,                0.99287,                      1,             0.00053852,             0.00053852,             0.00053852
                     20,                 1.4618,                0.95555,                0.97669,                0.81056,                0.69889,                0.76122,                0.54602,                 1.5033,                0.95223,                0.99506,             0.00053561,             0.00053561,             0.00053561
                     21,                 1.4862,                0.97747,                0.97932,                0.82347,                0.71187,                0.77029,                0.56051,                 1.4605,                0.92373,                0.98842,              0.0005327,              0.0005327,              0.0005327
                     22,                  1.445,                0.93716,                0.97446,                0.80264,                0.72835,                 0.7738,                0.55812,                 1.4745,                0.92153,                0.98747,             0.00052979,             0.00052979,             0.00052979
                     23,                 1.4531,                0.92328,                0.97297,                0.81751,                0.70657,                0.76631,                0.55522,                  1.466,                 0.9048,                0.98485,             0.00052688,             0.00052688,             0.00052688
                     24,                 1.4225,                0.89434,                0.96508,                0.82971,                0.73277,                0.78042,                 0.5562,                 1.4625,                0.88037,                0.97685,             0.00052397,             0.00052397,             0.00052397
                     25,                 1.4159,                0.88223,                 0.9554,                0.85473,                0.73102,                0.78578,                0.56745,                 1.4327,                0.85929,                0.97712,             0.00052106,             0.00052106,             0.00052106
                     26,                 1.3934,                0.88372,                0.95787,                 0.8122,                  0.726,                0.77858,                0.56374,                 1.4546,                0.88293,                0.97713,             0.00051815,             0.00051815,             0.00051815
                     27,                 1.3892,                0.85482,                0.95477,                0.80676,                 0.7509,                0.78351,                0.57572,                 1.4198,                0.85235,                 0.9683,             0.00051523,             0.00051523,             0.00051523
                     28,                 1.3771,                0.83496,                0.95311,                0.82638,                0.73606,                0.80084,                0.57719,                 1.4754,                0.87108,                0.98108,             0.00051232,             0.00051232,             0.00051232
                     29,                 1.3963,                0.85772,                0.95104,                0.83984,                0.75117,                0.81156,                0.58338,                 1.4299,                0.83407,                0.97068,             0.00050941,             0.00050941,             0.00050941
                     30,                  1.358,                0.82011,                0.95081,                0.85257,                0.76738,                0.81391,                0.59555,                 1.3981,                0.80893,                0.96327,              0.0005065,              0.0005065,              0.0005065
